depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_5,lineage_6,lineage_4,Copy Number Public 23Q4 MUCL1,Copy Number Public 23Q4 PRMT5,Copy Number Public 23Q4 MAP1A,Copy Number Public 23Q4 MAT2A,Copy Number Public 23Q4 PDGFRB,Copy Number Public 23Q4 GJA1,Copy Number Public 23Q4 MTAP,Copy Number Public 23Q4 ZNF185,Expression Public 23Q4 MTAP,Expression Public 23Q4 PRMT5,Expression Public 23Q4 PDGFRB,Expression Public 23Q4 ZNF185,Expression Public 23Q4 GJA1,Expression Public 23Q4 MAP1A,Expression Public 23Q4 MAT2A,Expression Public 23Q4 MUCL1
ACH-001270,127399,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,,,,0.7942419164083112,0.8097204308805228,0.7893348062057922,1.0496158825836754,1.2916688595798558,1.060073901258248,1.0543035368365328,0.7445688376695343,4.9593064897596575,5.880685525261125,6.083851587697961,3.1009776477248208,4.517275693209582,0.3219280948873623,7.053002695694355,0.0
ACH-002680,170MGBA,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,0.9443802845225828,0.5990101024713038,0.7165866458143778,1.0307774466752695,1.1027312557721969,1.013927585231046,0.429817219902286,0.7806891851878901,3.500802053057157,4.94766615679601,6.081723090644876,0.8155754288625725,8.105384749247602,5.461397589926158,7.079698105583953,0.0
ACH-001438,1777NRPMET,Testis,Non-Seminomatous Germ Cell Tumor,Embryonal Carcinoma,,,,1.077299985255052,0.8673527552524493,0.8408803495678091,1.0529213918031068,1.0134985646728207,0.9615392364677332,0.9187968108314782,0.7462889980438923,4.665051614289214,6.203788453308596,5.1039172107520665,3.8135246892978105,7.075318692553354,1.6825732973475784,6.453846773749929,0.0
ACH-002089,201T,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,1.0739518047888594,1.0172286594744055,0.9922588804881244,0.9315158174093064,0.9464093717655956,1.0077431685126683,0.0002941736445643,0.6447267758059145,,,,,,,,
ACH-002399,21NT,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,,,,0.8977534643810707,1.1135573944501067,0.8676144041674094,0.9569535043507916,0.8908775791319976,1.4178212370482162,0.8831586744839355,0.8074970025042928,,,,,,,,
ACH-001002,451LU,Skin,Melanoma,Cutaneous Melanoma,,,,0.955910009728944,0.8975607555852307,0.9967257240284502,1.0585322178055825,0.9577125166668592,0.929009892362918,0.6018654203953046,0.9299127639923904,,,,,,,,
ACH-000520,59M,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,High Grade Serous,,,0.8835410149417583,1.1705839579607338,0.4977012117511599,0.8598294733524683,1.170525048519998,1.1817160021867537,0.5159704752423857,0.5420430124919033,3.357552004618084,6.924693758386496,4.619999829821357,3.723558561472103,5.663344619366085,2.7463127664254587,7.032982416699429,0.0
ACH-000973,639V,Bladder/Urinary Tract,Urethral Cancer,Urethral Urothelial Carcinoma,Bladder Transitional Cell,,,0.9586942836196264,1.1661705324811875,0.9038777023563134,0.9161715102893622,0.8874008800734896,1.0815310744100612,0.9293513048164136,0.8449117491537284,5.786073551578548,7.50723965075508,0.879705766282288,0.9411063109464316,4.007195501404204,1.0565835283663676,7.528493181191486,0.0
ACH-001795,94T778,Soft Tissue,Liposarcoma,Well-Differentiated Liposarcoma,WDLPS,,,1.0786852397239328,0.8987142103189383,0.8284849738115192,0.8059957050171203,1.2263321613950895,0.952716671115959,1.060139992501985,0.8227108460432939,4.339137384919585,6.253232938538032,0.1110313123887439,3.0789513413948217,5.2861418728343015,0.2750070474998698,7.701549056943071,0.0
ACH-001999,9505BIK,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Exocrine Adenocarcinoma,,,1.202845726230717,0.8214824177248456,0.9957502776640988,0.9873806782804828,1.006733139009603,0.7347100447719199,1.2069688121124649,0.3870294097751964,6.651625783920642,6.603032826499619,0.0285691521967709,4.19377174339668,0.01435529297707,0.0285691521967709,6.8383215214127215,0.6415460290875237
ACH-001796,95T1000,Soft Tissue,Liposarcoma,Well-Differentiated Liposarcoma,WDLPS,,,1.1210587512956145,1.1064963936858825,0.8793815728506102,1.0192000858556858,1.0452367053127392,1.0395460743430178,0.6748389349050348,0.3551982274780219,4.2861418728343015,6.520265083643574,2.0107798387532423,2.2957230245399685,5.221877081077034,3.363171077119244,6.377991326905882,0.0
ACH-000283,A1207,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,1.003993511949267,0.7530421917848551,1.190375049189646,1.1120531731412089,1.1005396708011863,0.8510819504986487,0.0021326621883154,0.7370349969585444,0.0285691521967709,6.248686626873828,2.937344392150232,1.1505596765753812,4.904965718684027,3.3854310371935203,8.319039815562537,0.0
ACH-002001,A375SKINCJ1,Skin,Melanoma,Melanoma,,,,1.0392533963662642,0.7725134874806141,1.0484594866364845,1.0306870813875866,1.006697976467758,0.7921082490283025,1.2875866245740697,0.7163032687977489,7.935400812980595,6.258141995893771,1.3673710656485294,0.7048719644563528,0.01435529297707,0.4541758931858021,6.411765185006983,0.0
ACH-002002,A375SKINCJ2,Skin,Melanoma,Melanoma,,,,1.066731849734072,0.7936586953863096,1.0531529590417663,1.0506210695172484,1.2961378423774983,0.8022628839271639,1.2872991370407632,0.7364359403641669,6.032541697270038,6.729008870337863,2.127633279725874,1.292781749227846,0.0426443374084937,1.1309308698264486,7.59924339537725,0.1634987322828795
ACH-002003,A375SKINCJ3,Skin,Melanoma,Melanoma,,,,1.0388380956181562,0.7754510174936319,1.0542490984010555,1.0408263025600135,0.8095014040914965,0.7927409217018021,1.2852642493670705,0.7286531930408454,7.627169060841846,6.407692648665677,1.782408564927373,0.7311832415722002,0.0426443374084937,0.84799690655495,7.322739382694552,0.0
